Fecha Vacunación;Especialidad Prescribe;Region;id_region;Comuna;Sexo;Rango Etario;Dosis;Cantidad
21-03-2023;Anatomía Patológica;Los Lagos;region_10;Las Condes;Femenino;35-39;2da;45
05-04-2023;Anatomía Patológica;Libertador General Bernardo O'Higgins;region_6;Las Condes;Femenino;30-34;1ra;45
05-03-2023;Medicina Familiar;Maule;region_7;Providencia;Masculino;25-29;3ra;45
05-07-2022;Ginecología;Maule;region_7;Las Condes;Femenino;30-34;3ra;45
19-04-2023;Infectología;Maule;region_7;Las Condes;Femenino;30-34;3ra;45
05-03-2023;Infectología;Metropolitana de Santiago;region_13;Las Condes;Femenino;25-29;1ra;45
14-11-2022;Matrona;Tarapacá;region_1;Providencia;Masculino;30-34;1ra;45
14-04-2022;Ginecología;Metropolitana de Santiago;region_13;Las Condes;Femenino;25-29;2da;45
07-04-2023;Médico Cirujano;Los Lagos;region_10;Ñuñoa;Masculino;40-44;1ra;46
18-12-2022;Matrona;Biobío;region_8;Providencia;Masculino;25-29;1ra;46
12-03-2023;Urología;Metropolitana de Santiago;region_13;Ñuñoa;Femenino;35-39;1ra;46
16-03-2022;Anatomía Patológica;Maule;region_7;Las Condes;Masculino;40-44;2da;46
20-05-2022;Matrona;Antofagasta;region_2;Ñuñoa;Femenino;35-39;3ra;46
30-12-2022;Anatomía Patológica;Biobío;region_8;Las Condes;Masculino;40-44;1ra;46
29-03-2022;Dermatología;Libertador General Bernardo O'Higgins;region_6;Las Condes;Femenino;20-24;1ra;47
05-03-2022;Medicina Familiar;Tarapacá;region_1;La Florida;Femenino;25-29;1ra;47
21-08-2022;Medicina Familiar;Coquimbo;region_4;La Florida;Femenino;30-34;1ra;47
08-03-2022;Urología;Biobío;region_8;La Florida;Femenino;25-29;1ra;47
10-06-2022;Anestesiología;Valparaíso;region_5;Providencia;Masculino;20-24;1ra;47
27-09-2022;Ginecología;Maule;region_7;Las Condes;Femenino;25-29;2da;47
06-07-2022;Anestesiología;Maule;region_7;Providencia;Masculino;20-24;1ra;47
07-01-2022;Infectología;Metropolitana de Santiago;region_13;Las Condes;Femenino;25-29;3ra;48
03-03-2023;Medicina Familiar;Maule;region_7;Providencia;Masculino;25-29;3ra;48
02-03-2023;Anestesiología;Metropolitana de Santiago;region_13;Providencia;Masculino;20-24;1ra;48
26-05-2022;Ginecología;Biobío;region_8;Las Condes;Femenino;40-44;2da;48
19-01-2023;Ginecología;Metropolitana de Santiago;region_13;Las Condes;Femenino;30-34;1ra;48
10-09-2022;Medicina Familiar;Metropolitana de Santiago;region_13;Providencia;Masculino;30-34;3ra;48
09-01-2022;Matrona;Metropolitana de Santiago;region_13;La Florida;Femenino;25-29;3ra;48
26-08-2022;Médico Cirujano;Los Lagos;region_10;La Florida;Femenino;20-24;1ra;48
20-05-2022;Matrona;Antofagasta;region_2;La Florida;Femenino;35-39;3ra;48
30-03-2022;Urología;Maule;region_7;Providencia;Masculino;25-29;1ra;49
16-08-2022;Dermatología;Biobío;region_8;Las Condes;Femenino;25-29;2da;49
25-05-2022;Médico Cirujano;Maule;region_7;La Florida;Femenino;20-24;1ra;49
11-10-2022;Médico Cirujano;Metropolitana de Santiago;region_13;Providencia;Masculino;25-29;2da;49
08-02-2023;Dermatología;Metropolitana de Santiago;region_13;Las Condes;Femenino;40-44;2da;49
11-01-2022;Anatomía Patológica;Metropolitana de Santiago;region_13;Las Condes;Femenino;25-29;1ra;49
03-01-2022;Ginecología;Metropolitana de Santiago;region_13;Las Condes;Femenino;25-29;2da;50
15-06-2022;Ginecología;Maule;region_7;Las Condes;Femenino;40-44;1ra;50
09-04-2022;Urología;Los Lagos;region_10;Providencia;Masculino;20-24;1ra;50
12-05-2022;Ginecología;Valparaíso;region_5;Las Condes;Femenino;25-29;2da;50
13-01-2023;Urología;Metropolitana de Santiago;region_13;La Florida;Femenino;35-39;1ra;50
22-02-2023;Infectología;Libertador General Bernardo O'Higgins;region_6;Las Condes;Femenino;40-44;1ra;50
26-08-2022;Médico Cirujano;Los Lagos;region_10;La Florida;Femenino;20-24;1ra;50
